activity_uuid_product_uuid,activity_name,geography,reference_product_unit
00058fae-e581-5963-82e3-a83775da2995_94ef9b64-be1e-4fea-a206-a952eb605628,硝酸钙市场,世界其它,kg
000992b2-652c-502b-818d-74e1f43082a8_66c93e71-f32b-4591-901c-55395db5c132,电力生产、石油,乌克兰,kWh
000a17ed-37a7-5bc9-81fc-663bb18d455a_27da8130-82ba-485c-a800-b89efdcb0491,城市固体废物市场,北马其顿,kg
000ae363-830c-5d0f-a3ea-8477eed917b3_66c93e71-f32b-4591-901c-55395db5c132,电力生产、天然气、传统发电厂,中国，海南(海南),kWh
0013b820-75f4-54da-b355-283cf611cb41_66c93e71-f32b-4591-901c-55395db5c132,发电，太阳能热抛物槽，50 MW,南非,kWh
0014b858-1b3f-5191-b811-7785a48b9add_759b89bd-3aa6-42ad-b767-5bb9ef5d331d,电力市场，中压,阿拉伯叙利亚共和国,kWh
00180034-5762-5354-978e-94f456f863ae_cb4737ad-692c-4006-9b99-853be76f6ad9,镀锡铬钢板市场，2 毫米,全球,m2
00182ea2-a5dc-59b9-b675-ec470197cb91_5819c006-2162-4984-b821-924282b1309d,热电联产机组结构，50kW 电气，热电通用组件,世界其它,unit
0018a8e9-284e-506d-9d68-bf50e393ce92_759b89bd-3aa6-42ad-b767-5bb9ef5d331d,电力，中压，残余混合,冰岛,kWh
002236fc-8e5b-5e76-9d1b-a063453e2ccd_6ab2abde-801d-45a3-8ea3-455d0f01c3f4,水市场，脱碳,印度,kg
0026d2d5-a50a-5de1-9679-b2798a992186_635a8fd4-8fd6-45af-b419-ec145a9f4579,二甲苯胺市场,全球,kg
00288e64-1e49-5f4c-8df3-753510881399_0d860eb4-1a25-41b4-a821-81f5726d86e5,大麦谷物、饲料、有机食品市场,全球,kg
002bddb3-d148-5e2c-a130-8d0b06d9bd56_f01a5ba9-4444-5a15-84f0-2a1dbda685a6,聚对苯二甲酸乙二醇酯生产，颗粒，瓶级，回收,瑞士,kg
002c9d86-4671-56cc-8452-4a8b87201fd7_8d7c013a-5aca-44d7-8fc4-193844d2953a,废包装纸市场,拉脱维亚,kg
002dae40-75c8-5d11-83f4-b0289fb85aae_66c93e71-f32b-4591-901c-55395db5c132,电力生产，风能，<1MW 涡轮机，陆上,中国，云南(云南),kWh
0030feb5-0c55-5710-93f8-b1baf4ea6755_a9007f10-7e39-4d50-8f4a-d6d03ce3d673,天然气，高压，从 NG 进口,法国,m3
00316598-cdb3-58df-9adb-215b507046bf_69b7861d-cda8-4fbc-b485-0e70b10841a7,从草中生产乙醇,瑞士,kg
00316598-cdb3-58df-9adb-215b507046bf_8b2dfb58-660d-44eb-b83f-5d9e28e467db,从草中生产乙醇,瑞士,kg
00316598-cdb3-58df-9adb-215b507046bf_ffcb8cbb-77ab-4f87-8a94-87ca5b8ea79e,从草中生产乙醇,瑞士,kg
0031cb86-8b61-5483-99d5-354b2156ff34_66c93e71-f32b-4591-901c-55395db5c132,发电、风力、1-3MW 涡轮机、离岸,中国，天津(天津),kWh
003d099d-b96e-54c0-8a49-299ab972e3b4_4495d57c-84f9-48e3-bb76-15ebc2b61d51,纸张、新闻纸市场,欧洲,kg
003d7499-1036-5eed-9918-b9f0008de2a3_b9d163af-230d-4a54-a9e0-27f894dc8c2a,丙烯酸生产,世界其它,kg
003eb114-02ba-5623-b941-19bdff562280_9c6b672a-661e-40c3-a9a0-902b33cc6871,普通话制作,中国,kg
00442f34-598c-5f21-8bb1-1a8b1e7b2d89_637ee275-a239-4dcb-b084-abfa110dd65b,电力市场，仅用于城市垃圾焚烧再利用,日本,kWh
0045c7d0-643a-5ea8-908e-03722348eccb_71e2f1db-a2c5-44d0-8337-dfff15be974d,污水污泥处理，75% 水，WWT，WW，平均值，卫生填埋场,欧洲除了瑞士,MJ
0045c7d0-643a-5ea8-908e-03722348eccb_759b89bd-3aa6-42ad-b767-5bb9ef5d331d,污水污泥处理，75% 水，WWT，WW，平均值，卫生填埋场,欧洲除了瑞士,kWh
0045c7d0-643a-5ea8-908e-03722348eccb_77d93716-943e-4432-bb07-53683c7aff2e,污水污泥处理，75% 水，WWT，WW，平均值，卫生填埋场,欧洲除了瑞士,kg
004800ac-4575-5b7e-bda0-553f33ee4917_485b4fc4-90b7-4c36-9bb4-fd116ad34538,天然气市场，中压，汽车级,全球,kg
004fa061-cbdd-5ab8-8aaf-4645516edc32_99598921-d5df-489f-b96c-7dd4ba6b36a6,运输、货运、卡车 3.5-7.5 公吨，EURO5,巴西,metric ton*km
00564543-d17c-51c7-a661-b69ac1cef8ef_63ead738-2005-498c-8359-7f65c134a1a4,蒸汽生产，作为能量载体，在化工行业,欧洲,MJ
0057f884-7d56-5d11-b8ca-d3c2c8a079dc_b73c05e7-72a9-40af-b33e-771c6964f4ce,面糊小麦混合生产,欧洲,kg
005c7e76-ec0d-5e79-96cd-916d03b7ad2b_45fbbc41-7ae9-46cc-bb31-abfa11e69de0,污水污泥处理、70% 水、WWT、雨水矿物油储存、市政焚烧 FAE,瑞士,MJ
005c7e76-ec0d-5e79-96cd-916d03b7ad2b_4941665e-41a5-4b33-973a-a029e13f3aec,污水污泥处理、70% 水、WWT、雨水矿物油储存、市政焚烧 FAE,瑞士,kg
00627f1a-1e34-5f4b-89ca-6bb2e9bac893_35acd9b5-a505-4019-a044-602d75c177cc,炸药厂建设,世界其它,unit
0064bc84-a4a8-5500-938c-60415812c6c5_15df8126-cc38-4ba4-912b-1bdba2b405c4,二手鼓风机和热交换器 KWLC 1200 的市场,全球,unit
00651cda-028b-5ea6-9f0b-85c40be74527_2966d161-5281-47d6-86d3-efbb0a4b2110,重油，从RoW进口,南非,kg
006526c1-1286-5ff9-848e-9072e12093cc_118a9202-6b68-44aa-82b5-2c2bf5bc02cf,丁烷氧化,世界其它,kg
006526c1-1286-5ff9-848e-9072e12093cc_15e08bcb-75e0-4f45-ab47-d6ddff721ebc,丁烷氧化,世界其它,kg
006526c1-1286-5ff9-848e-9072e12093cc_1a71f77c-edaa-4365-a192-f54ac538d033,丁烷氧化,世界其它,kg
006526c1-1286-5ff9-848e-9072e12093cc_86e1bf02-e86a-479b-9051-710271dbd745,丁烷氧化,世界其它,kg
006526c1-1286-5ff9-848e-9072e12093cc_bd9f3f8b-c561-4604-b683-4e53f704bd02,丁烷氧化,世界其它,kg
006526c1-1286-5ff9-848e-9072e12093cc_e36aa595-9fc6-4eff-8f34-a9b11f460762,丁烷氧化,世界其它,kg
